1.0960,0.9980,5.9470,1.0190,7.1370,0.0820,0.9500,0.9750
1.3310,0.9980,7.2820,1.0190,10.6550,0.2870,0.9500,0.9750
1.3890,0.9980,7.5740,1.0200,13.0860,0.2590,0.9500,0.9750
1.6580,0.9980,9.0070,1.0220,18.1090,0.3580,0.9500,0.9750
2.0780,0.9980,11.1970,1.0260,26.3730,0.5220,0.9500,0.9750
2.5010,0.9980,13.3560,1.0300,35.7600,0.7080,0.9500,0.9750
2.9630,0.9980,15.6790,1.0350,45.8810,0.9080,0.9500,0.9750
3.5760,0.9980,18.6320,1.0400,62.4400,1.2360,0.9500,0.9750
4.4980,0.9980,22.8110,1.0490,92.5560,1.8320,0.9500,0.9750
1.1000,0.9980,5.9630,1.0190,3.8790,0.0790,0.9500,0.9760
1.3300,0.9980,7.2720,1.0190,12.7850,0.2890,0.9500,0.9760
1.3890,0.9980,7.5670,1.0200,13.0520,0.2580,0.9500,0.9760
1.6570,0.9980,8.9980,1.0220,18.0660,0.3580,0.9500,0.9760
2.0780,0.9980,11.1850,1.0260,26.3160,0.5210,0.9500,0.9760
2.5010,0.9980,13.3420,1.0300,35.6870,0.7070,0.9500,0.9760
2.9630,0.9980,15.6610,1.0350,45.7990,0.9070,0.9500,0.9760
3.5750,0.9980,18.6110,1.0400,62.3420,1.2340,0.9500,0.9760
4.4960,0.9980,22.7840,1.0490,92.4480,1.8300,0.9500,0.9760
1.1170,0.9980,6.0470,1.0190,0.0000,0.0880,0.9500,0.9770
1.3300,0.9980,7.2620,1.0190,13.1920,0.2890,0.9500,0.9770
1.3890,0.9980,7.5590,1.0200,13.0180,0.2580,0.9500,0.9770
1.6570,0.9980,8.9890,1.0220,18.0230,0.3570,0.9500,0.9770
2.0780,0.9980,11.1740,1.0260,26.2600,0.5200,0.9500,0.9770
2.5010,0.9980,13.3280,1.0300,35.6130,0.7050,0.9500,0.9770
2.9620,0.9980,15.6440,1.0350,45.7170,0.9050,0.9500,0.9770
3.5740,0.9980,18.5890,1.0410,62.2450,1.2320,0.9500,0.9770
4.4950,0.9980,22.7560,1.0490,92.3420,1.8280,0.9500,0.9770
1.1420,0.9980,6.1850,1.0190,0.0000,0.1070,0.9500,0.9780
1.3260,0.9980,7.2390,1.0190,15.3190,0.2890,0.9500,0.9780
1.3890,0.9980,7.5520,1.0200,12.9830,0.2570,0.9500,0.9780
1.6570,0.9980,8.9800,1.0220,17.9800,0.3560,0.9500,0.9780
2.0780,0.9980,11.1620,1.0260,26.2030,0.5190,0.9500,0.9780
2.5000,0.9980,13.3150,1.0300,35.5400,0.7040,0.9500,0.9780
2.9610,0.9980,15.6270,1.0350,45.6360,0.9040,0.9500,0.9780
3.5740,0.9980,18.5680,1.0410,62.1480,1.2300,0.9500,0.9780
4.4940,0.9980,22.7290,1.0490,92.2350,1.8260,0.9500,0.9780
1.1630,0.9980,6.2930,1.0190,0.0000,0.1240,0.9500,0.9790
1.3240,0.9980,7.2220,1.0190,16.5810,0.2880,0.9500,0.9790
1.3880,0.9980,7.5440,1.0200,12.9490,0.2560,0.9500,0.9790
1.6570,0.9980,8.9710,1.0220,17.9370,0.3550,0.9500,0.9790
2.0770,0.9980,11.1510,1.0260,26.1470,0.5180,0.9500,0.9790
2.5000,0.9980,13.3010,1.0300,35.4670,0.7020,0.9500,0.9790
2.9610,0.9980,15.6100,1.0350,45.5550,0.9020,0.9500,0.9790
3.5730,0.9980,18.5470,1.0410,62.0510,1.2280,0.9500,0.9790
4.4930,0.9980,22.7010,1.0490,92.1290,1.8240,0.9500,0.9790
1.1780,0.9980,6.3720,1.0190,0.0000,0.1360,0.9500,0.9800
1.3240,0.9980,7.2140,1.0190,16.2160,0.2870,0.9500,0.9800
1.3880,0.9980,7.5370,1.0200,12.9150,0.2560,0.9500,0.9800
1.6560,0.9980,8.9620,1.0220,17.8940,0.3540,0.9500,0.9800
2.0770,0.9980,11.1390,1.0260,26.0900,0.5160,0.9500,0.9800
2.5000,0.9980,13.2870,1.0300,35.3930,0.7010,0.9500,0.9800
2.9600,0.9980,15.5920,1.0350,45.4730,0.9000,0.9500,0.9800
3.5720,0.9980,18.5250,1.0410,61.9540,1.2260,0.9500,0.9800
4.4920,0.9980,22.6740,1.0490,92.0230,1.8220,0.9500,0.9800
1.2070,0.9980,6.5280,1.0190,0.0000,0.1620,0.9500,0.9810
1.3230,0.9980,7.2000,1.0190,16.7010,0.2860,0.9500,0.9810
1.3880,0.9980,7.5300,1.0200,12.8810,0.2550,0.9500,0.9810
1.6560,0.9980,8.9530,1.0220,17.8520,0.3530,0.9500,0.9810
2.0770,0.9980,11.1280,1.0260,26.0340,0.5150,0.9500,0.9810
2.4990,0.9980,13.2730,1.0300,35.3210,0.6990,0.9500,0.9810
